,STUDYSOP,STATUS,DateField,PopulatedCount,% Populated,MissinnessCount,% Missingness
0,CT02,Approved,COMPLETIONDATE,0.0,0.0,37.0,100.0
1,CT02,Approved,FINALREPORTDATE,0.0,0.0,37.0,100.0
2,CT02,Approved,FSFV,0.0,0.0,37.0,100.0
3,CT02,Approved,LSLV,0.0,0.0,37.0,100.0
4,CT02,Canceled,COMPLETIONDATE,3.0,0.03382949932341001,8865.0,99.96617050067658
5,CT02,Canceled,FINALREPORTDATE,40.0,0.4510599909788002,8828.0,99.54894000902121
6,CT02,Canceled,FSFV,28.0,0.31574199368516015,8840.0,99.68425800631483
7,CT02,Canceled,LSLV,2.0,0.02255299954894001,8866.0,99.97744700045106
8,CT02,Completed,COMPLETIONDATE,1752.0,11.167059723373065,13937.0,88.83294027662694
9,CT02,Completed,FINALREPORTDATE,12061.0,76.87551787876856,3628.0,23.124482121231434
10,CT02,Completed,FSFV,11655.0,74.2877175090828,4034.0,25.712282490917204
11,CT02,Completed,LSLV,11509.0,73.3571291988017,4180.0,26.642870801198292
12,CT02,Concept,COMPLETIONDATE,0.0,0.0,461.0,100.0
13,CT02,Concept,FINALREPORTDATE,0.0,0.0,461.0,100.0
14,CT02,Concept,FSFV,0.0,0.0,461.0,100.0
15,CT02,Concept,LSLV,0.0,0.0,461.0,100.0
16,CT02,Not Pursued,COMPLETIONDATE,2.0,0.3252032520325203,613.0,99.67479674796748
17,CT02,Not Pursued,FINALREPORTDATE,0.0,0.0,615.0,100.0
18,CT02,Not Pursued,FSFV,0.0,0.0,615.0,100.0
19,CT02,Not Pursued,LSLV,0.0,0.0,615.0,100.0
20,CT02,Ongoing,COMPLETIONDATE,35.0,19.230769230769234,147.0,80.76923076923077
21,CT02,Ongoing,FINALREPORTDATE,8.0,4.395604395604396,174.0,95.6043956043956
22,CT02,Ongoing,FSFV,182.0,100.0,0.0,0.0
23,CT02,Ongoing,LSLV,0.0,0.0,182.0,100.0
24,CT02,Planned,COMPLETIONDATE,0.0,0.0,49.0,100.0
25,CT02,Planned,FINALREPORTDATE,0.0,0.0,49.0,100.0
26,CT02,Planned,FSFV,0.0,0.0,49.0,100.0
27,CT02,Planned,LSLV,0.0,0.0,49.0,100.0
28,CT02,Terminated,COMPLETIONDATE,286.0,20.531227566403444,1107.0,79.46877243359656
29,CT02,Terminated,FINALREPORTDATE,964.0,69.20315865039484,429.0,30.79684134960517
30,CT02,Terminated,FSFV,1095.0,78.60732232591529,298.0,21.39267767408471
31,CT02,Terminated,LSLV,1043.0,74.87437185929649,350.0,25.125628140703515
32,CT02,Unknown,COMPLETIONDATE,0.0,0.0,131.0,100.0
33,CT02,Unknown,FINALREPORTDATE,52.0,39.69465648854962,79.0,60.30534351145038
34,CT02,Unknown,FSFV,20.0,15.267175572519085,111.0,84.7328244274809
35,CT02,Unknown,LSLV,8.0,6.106870229007633,123.0,93.89312977099237
36,CT24,Approved,COMPLETIONDATE,0.0,0.0,66.0,100.0
37,CT24,Approved,FINALREPORTDATE,0.0,0.0,66.0,100.0
38,CT24,Approved,FSFV,1.0,1.5151515151515151,65.0,98.48484848484848
39,CT24,Approved,LSLV,0.0,0.0,66.0,100.0
40,CT24,Canceled,COMPLETIONDATE,2.0,0.20597322348094746,969.0,99.79402677651905
41,CT24,Canceled,FINALREPORTDATE,9.0,0.9268795056642637,962.0,99.07312049433573
42,CT24,Canceled,FSFV,1.0,0.10298661174047373,970.0,99.89701338825952
43,CT24,Canceled,LSLV,2.0,0.20597322348094746,969.0,99.79402677651905
